1 Penelope	Glover;81 68
359 Simon	James;16 114
360 Blake	Graham;294 201
361 Sonia	Short;133 114
362 Luke	Avery;66 201
363 Jake	Mitchell;160 228
364 Donna	Brown;117 114
365 Joe	Bailey;31 114
366 John	Young;153 228
367 Justin	White;245 228
368 Deirdre	Ferguson;168 228
369 Joanne	Powell;100 68
370 Ava	Sharp;141 68
371 Una	Coleman;92 114
372 Christian	Knox;265 228
373 Anne	Mathis;135 114
374 Joan	Slater;294 68
375 Natalie	Ince;47 201
376 Dominic	Skinner;238 114
377 Grace	Dickens;166 228
378 Dorothy	Scott;107 228
379 Sean	Dowd;295 201
380 Ava	Alsop;35 68
381 Leah	Terry;106 68
382 Sally	Marshall;272 114
383 Ian	Kerr;25 228
384 Rachel	MacDonald;277 114
385 Benjamin	Paterson;109 228
386 Jack	Stewart;290 114
387 Sonia	Wallace;222 68
388 Alexander	Clark;208 114
389 Michelle	Parr;183 228
390 Una	Kelly;112 228
391 Justin	Greene;115 68
392 Faith	Powell;121 228
393 Joe	Avery;163 201
394 Ryan	Sutherland;4 228
395 Bella	Black;234 114
396 Emma	Vaughan;192 228
397 Charles	Brown;166 68
398 Jason	Thomson;78 68
399 Tim	Slater;218 114
400 Sarah	Lewis;92 68
401 Anthony	Alsop;49 114
402 Frank	Carr;217 114
403 Penelope	Bower;195 68
404 Ella	May;262 68
405 Brian	Oliver;6 201
406 Sonia	Grant;220 228
407 Julia	Dyer;61 228
408 Lisa	Lewis;282 228
409 Olivia	Short;212 114
410 Bernadette	King;167 201
411 Liam	Skinner;279 228
412 Boris	Scott;240 228
413 Anne	Ogden;131 68
414 Jennifer	Paige;188 228
415 Benjamin	Hardacre;37 68
416 Zoe	Langdon;237 201
417 Kevin	Gibson;250 201
418 Edward	Walker;63 114
419 Gabrielle	Morgan;90 228
420 Max	Fraser;170 201
421 Megan	Pullman;8 201
422 Evan	Clarkson;295 114
423 Warren	Edmunds;111 68
424 Olivia	Oliver;23 68
425 Kimberly	Dowd;107 201
426 Brandon	Ogden;166 228
427 Rose	Nolan;243 68
428 Victoria	Poole;178 201
429 Sue	Hodges;22 114
430 Katherine	Mitchell;203 68
431 Elizabeth	Powell;21 68
432 Katherine	Hart;35 201
433 Owen	Blake;232 114
434 Sophie	Bailey;207 228
435 Connor	Nolan;235 114
436 Olivia	Rees;105 114
437 Sebastian	Henderson;43 201
438 Paul	Underwood;295 228
439 Kimberly	Scott;43 201
440 Jacob	Bailey;205 68
441 Jacob	Watson;220 114
442 Dorothy	Murray;66 68
443 Connor	Grant;150 201
444 Emily	Rampling;138 201
445 Nathan	Allan;176 201
446 Carol	Parr;138 201
447 David	Miller;188 228
448 Felicity	Cornish;240 68
449 Katherine	Quinn;265 228
450 Madeleine	Alsop;144 68
451 Paul	Quinn;130 228
452 Christian	Gill;240 228
453 Megan	Wilkins;236 228
454 Natalie	Glover;116 228
455 Leonard	Howard;279 228
456 Adrian	Knox;1 201
457 Wanda	Sanderson;197 228
458 Peter	Wright;220 68
459 Carolyn	McGrath;54 201
460 Sally	Manning;37 201
461 Carl	Jackson;116 68
462 William	Bell;157 114
463 Madeleine	Sutherland;64 228
464 Christian	Reid;91 68
465 Nicola	Allan;109 228
466 Christopher	Marshall;214 114
467 Chloe	Jackson;257 68
468 Diane	Grant;104 201
469 Peter	Grant;293 68
470 Sebastian	McLean;237 228
471 Carl	Greene;234 68
472 Oliver	Parsons;234 201
473 Michelle	Sutherland;43 68
474 Jack	Oliver;2 228
475 Neil	Kerr;87 228
476 Jasmine	Robertson;222 114
477 Justin	Brown;31 228
478 Samantha	Campbell;61 114
479 Benjamin	Ellison;163 68
480 Adam	Taylor;301 201
481 Ava	Campbell;230 201
482 Emma	Thomson;88 68
483 Frank	Wallace;9 201
484 Michael	Bailey;134 114
485 Sophie	Dyer;232 201
486 Justin	Hodges;256 114
487 Peter	Alsop;223 228
488 Kylie	Piper;35 68
489 David	Fisher;297 228
490 Piers	Robertson;71 114
491 Andrea	Robertson;71 201
492 Alison	McLean;269 114
493 Lillian	Manning;163 201
494 Joanne	Murray;63 201
495 Lauren	Hodges;83 228
496 Jacob	North;71 201
497 Lucas	Slater;24 68
498 Brandon	Howard;20 228
499 Lisa	Sutherland;197 201
500 Tim	Peake;77 68
